sesion,fecha_inicio,tiempo_seg,tiempo_mmss,emocion_grupal,estudiantes_detectados,n_enojado,n_miedo,n_feliz,n_neutral,n_triste,n_sorpresa
Prueba3,2026-05-19 20:29:54,53.9,00:53,Miedo,2,0,2,0,0,0,0
Prueba3,2026-05-19 20:29:54,54.28,00:54,Miedo,2,0,2,0,0,0,0
Prueba3,2026-05-19 20:29:54,54.67,00:54,Feliz,3,0,1,1,0,1,0
Prueba3,2026-05-19 20:29:54,55.05,00:55,Feliz,3,0,1,1,0,1,0
Prueba3,2026-05-19 20:29:54,55.44,00:55,Feliz,3,0,1,1,0,1,0
Prueba3,2026-05-19 20:29:54,55.86,00:55,Feliz,3,0,1,1,0,1,0
Prueba3,2026-05-19 20:29:54,56.42,00:56,Feliz,3,0,1,1,0,1,0
Prueba3,2026-05-19 20:29:54,57.04,00:57,Triste,1,0,0,0,0,1,0
Prueba3,2026-05-19 20:29:54,57.49,00:57,Miedo,2,0,1,0,0,1,0
Prueba3,2026-05-19 20:29:54,57.94,00:57,Enojado,1,1,0,0,0,0,0
Prueba3,2026-05-19 20:29:54,58.31,00:58,Enojado,1,1,0,0,0,0,0
Prueba3,2026-05-19 20:29:54,58.69,00:58,Enojado,1,1,0,0,0,0,0
Prueba3,2026-05-19 20:29:54,59.05,00:59,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,59.41,00:59,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,59.76,00:59,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,60.11,01:00,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,60.48,01:00,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,60.84,01:00,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,61.24,01:01,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,61.59,01:01,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,61.94,01:01,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,62.29,01:02,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,62.86,01:02,Miedo,1,0,1,0,0,0,0
Prueba3,2026-05-19 20:29:54,63.56,01:03,Feliz,3,0,1,1,1,0,0
Prueba3,2026-05-19 20:29:54,64.1,01:04,Sorpresa,3,0,1,0,1,0,1
Prueba3,2026-05-19 20:29:54,64.63,01:04,Neutral,4,1,0,1,2,0,0
Prueba3,2026-05-19 20:29:54,65.16,01:05,Enojado,4,1,1,1,1,0,0
Prueba3,2026-05-19 20:29:54,65.69,01:05,Feliz,4,1,0,2,1,0,0
Prueba3,2026-05-19 20:29:54,66.2,01:06,Feliz,3,1,0,2,0,0,0
Prueba3,2026-05-19 20:29:54,66.71,01:06,Feliz,4,1,1,2,0,0,0
Prueba3,2026-05-19 20:29:54,67.21,01:07,Feliz,4,0,2,2,0,0,0
Prueba3,2026-05-19 20:29:54,67.7,01:07,Feliz,3,0,1,2,0,0,0
Prueba3,2026-05-19 20:29:54,68.24,01:08,Feliz,4,1,0,3,0,0,0
Prueba3,2026-05-19 20:29:54,68.82,01:08,Feliz,5,1,1,2,0,1,0
Prueba3,2026-05-19 20:29:54,69.3,01:09,Feliz,3,0,1,1,1,0,0
Prueba3,2026-05-19 20:29:54,69.78,01:09,Neutral,4,0,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,70.29,01:10,Miedo,4,0,2,1,1,0,0
Prueba3,2026-05-19 20:29:54,70.79,01:10,Miedo,4,0,2,1,1,0,0
Prueba3,2026-05-19 20:29:54,71.32,01:11,Neutral,5,1,1,1,2,0,0
Prueba3,2026-05-19 20:29:54,71.82,01:11,Miedo,4,0,2,1,0,1,0
Prueba3,2026-05-19 20:29:54,72.33,01:12,Miedo,4,0,2,1,1,0,0
