segundo,emocion,confianza
860.0,No_Detectado,0.0
862.0,No_Detectado,0.0
864.0,No_Detectado,0.0
866.0,No_Detectado,0.0
868.0,No_Detectado,0.0
870.0,No_Detectado,0.0
872.0,No_Detectado,0.0
874.0,No_Detectado,0.0
876.0,No_Detectado,0.0
878.0,No_Detectado,0.0
880.0,No_Detectado,0.0
882.0,No_Detectado,0.0
884.0,No_Detectado,0.0
886.0,No_Detectado,0.0
888.0,No_Detectado,0.0
890.0,No_Detectado,0.0
892.0,No_Detectado,0.0
894.0,No_Detectado,0.0
896.0,No_Detectado,0.0
898.0,No_Detectado,0.0
900.0,No_Detectado,0.0
902.0,No_Detectado,0.0
904.0,No_Detectado,0.0
906.0,No_Detectado,0.0
908.0,No_Detectado,0.0
910.0,No_Detectado,0.0
912.0,No_Detectado,0.0
914.0,No_Detectado,0.0
916.0,No_Detectado,0.0
918.0,No_Detectado,0.0
920.0,No_Detectado,0.0
922.0,No_Detectado,0.0
924.0,No_Detectado,0.0
926.0,No_Detectado,0.0
928.0,No_Detectado,0.0
930.0,Neutral,0.2793872654438019
932.0,Happy,0.8230825662612915
934.0,Sad,0.3157345652580261
936.0,No_Detectado,0.0
938.0,No_Detectado,0.0
940.0,No_Detectado,0.0
942.0,No_Detectado,0.0
944.0,No_Detectado,0.0
946.0,No_Detectado,0.0
948.0,Sad,0.3129527270793915
950.0,No_Detectado,0.0
952.0,No_Detectado,0.0
954.0,No_Detectado,0.0
956.0,No_Detectado,0.0
958.0,No_Detectado,0.0
960.0,No_Detectado,0.0
962.0,No_Detectado,0.0
964.0,No_Detectado,0.0
966.0,No_Detectado,0.0
968.0,No_Detectado,0.0
970.0,No_Detectado,0.0
972.0,No_Detectado,0.0
974.0,No_Detectado,0.0
976.0,No_Detectado,0.0
978.0,No_Detectado,0.0
980.0,No_Detectado,0.0
982.0,No_Detectado,0.0
984.0,No_Detectado,0.0
986.0,No_Detectado,0.0
988.0,No_Detectado,0.0
990.0,No_Detectado,0.0
992.0,No_Detectado,0.0
994.0,No_Detectado,0.0
996.0,No_Detectado,0.0
998.0,No_Detectado,0.0
1000.0,No_Detectado,0.0
1002.0,No_Detectado,0.0
1004.0,No_Detectado,0.0
1006.0,No_Detectado,0.0
1008.0,No_Detectado,0.0
1010.0,No_Detectado,0.0
1012.0,No_Detectado,0.0
1014.0,No_Detectado,0.0
1016.0,No_Detectado,0.0
1018.0,No_Detectado,0.0
1020.0,No_Detectado,0.0
1022.0,No_Detectado,0.0
1024.0,No_Detectado,0.0
1026.0,No_Detectado,0.0
1028.0,No_Detectado,0.0
1030.0,No_Detectado,0.0
1032.0,Happy,0.5763518810272217
1034.0,No_Detectado,0.0
1036.0,No_Detectado,0.0
1038.0,No_Detectado,0.0
1040.0,No_Detectado,0.0
1042.0,No_Detectado,0.0
1044.0,No_Detectado,0.0
1046.0,No_Detectado,0.0
1048.0,No_Detectado,0.0
1050.0,No_Detectado,0.0
1052.0,No_Detectado,0.0
1054.0,No_Detectado,0.0
1056.0,No_Detectado,0.0
1058.0,No_Detectado,0.0
1060.0,No_Detectado,0.0
1062.0,No_Detectado,0.0
1064.0,No_Detectado,0.0
1066.0,No_Detectado,0.0
1068.0,No_Detectado,0.0
1070.0,No_Detectado,0.0
1072.0,No_Detectado,0.0
1074.0,No_Detectado,0.0
1076.0,No_Detectado,0.0
1078.0,No_Detectado,0.0
1080.0,No_Detectado,0.0
1082.0,No_Detectado,0.0
1084.0,No_Detectado,0.0
1086.0,No_Detectado,0.0
1088.0,No_Detectado,0.0
1090.0,No_Detectado,0.0
1092.0,No_Detectado,0.0
1094.0,No_Detectado,0.0
1096.0,No_Detectado,0.0
1098.0,No_Detectado,0.0
1100.0,No_Detectado,0.0
1102.0,No_Detectado,0.0
1104.0,No_Detectado,0.0
1106.0,No_Detectado,0.0
1108.0,No_Detectado,0.0
1110.0,No_Detectado,0.0
1112.0,No_Detectado,0.0
1114.0,No_Detectado,0.0
1116.0,No_Detectado,0.0
1118.0,No_Detectado,0.0
1120.0,No_Detectado,0.0
1122.0,No_Detectado,0.0
1124.0,No_Detectado,0.0
1126.0,No_Detectado,0.0
1128.0,No_Detectado,0.0
1130.0,No_Detectado,0.0
1132.0,No_Detectado,0.0
1134.0,No_Detectado,0.0
1136.0,No_Detectado,0.0
1138.0,No_Detectado,0.0
1140.0,No_Detectado,0.0
1142.0,No_Detectado,0.0
1144.0,No_Detectado,0.0
1146.0,No_Detectado,0.0
1148.0,No_Detectado,0.0
1150.0,No_Detectado,0.0
1152.0,No_Detectado,0.0
1154.0,Fear,0.27465730905532837
1156.0,No_Detectado,0.0
1158.0,No_Detectado,0.0
1160.0,No_Detectado,0.0
1162.0,No_Detectado,0.0
1164.0,No_Detectado,0.0
1166.0,No_Detectado,0.0
1168.0,No_Detectado,0.0
1170.0,No_Detectado,0.0
1172.0,No_Detectado,0.0
1174.0,No_Detectado,0.0
1176.0,No_Detectado,0.0
1178.0,No_Detectado,0.0
1180.0,No_Detectado,0.0
1182.0,No_Detectado,0.0
1184.0,Sad,0.276262491941452
1186.0,Fear,0.2858723998069763
1188.0,No_Detectado,0.0
1190.0,No_Detectado,0.0
1192.0,Sad,0.375957727432251
1194.0,No_Detectado,0.0
1196.0,No_Detectado,0.0
1198.0,Sad,0.393207311630249
1200.0,Sad,0.27571138739585876
1202.0,Happy,0.6004431843757629
1204.0,No_Detectado,0.0
1206.0,No_Detectado,0.0
1208.0,Sad,0.3261531889438629
1210.0,No_Detectado,0.0
1212.0,No_Detectado,0.0
1214.0,No_Detectado,0.0
1216.0,No_Detectado,0.0
1218.0,No_Detectado,0.0
1220.0,No_Detectado,0.0
1222.0,No_Detectado,0.0
1224.0,No_Detectado,0.0
1226.0,No_Detectado,0.0
1228.0,No_Detectado,0.0
1230.0,No_Detectado,0.0
1232.0,No_Detectado,0.0
1234.0,No_Detectado,0.0
1236.0,No_Detectado,0.0
1238.0,No_Detectado,0.0
1240.0,No_Detectado,0.0
1242.0,No_Detectado,0.0
1244.0,No_Detectado,0.0
1246.0,No_Detectado,0.0
1248.0,No_Detectado,0.0
1250.0,No_Detectado,0.0
1252.0,No_Detectado,0.0
1254.0,No_Detectado,0.0
1256.0,No_Detectado,0.0
1258.0,No_Detectado,0.0
1260.0,No_Detectado,0.0
1262.0,No_Detectado,0.0
1264.0,No_Detectado,0.0
1266.0,No_Detectado,0.0
1268.0,No_Detectado,0.0
1270.0,No_Detectado,0.0
1272.0,No_Detectado,0.0
1274.0,No_Detectado,0.0
1276.0,No_Detectado,0.0
1278.0,No_Detectado,0.0
1280.0,No_Detectado,0.0
1282.0,No_Detectado,0.0
1284.0,No_Detectado,0.0
1286.0,No_Detectado,0.0
1288.0,No_Detectado,0.0
1290.0,No_Detectado,0.0
1292.0,No_Detectado,0.0
1294.0,No_Detectado,0.0
1296.0,No_Detectado,0.0
1298.0,No_Detectado,0.0
1300.0,Sad,0.3009324073791504
1302.0,No_Detectado,0.0
1304.0,No_Detectado,0.0
